amps,cell,dur,expt,freqs,rep,spikes
55,7,25,tuning_curve,16000,2,134.299999999996
55,7,25,tuning_curve,22627.4,2,15.0333333332924
55,7,25,tuning_curve,22627.4,2,144.100000000037
55,7,25,tuning_curve,32000,2,71.6666666666583
55,7,25,tuning_curve,32000,2,146.29999999994
55,7,25,tuning_curve,64000,2,4.46666666658757
55,7,25,tuning_curve,64000,2,120.099999999923
55,7,25,tuning_curve,64000,2,131.399999999928
70,7,25,tuning_curve,-1,2,23.5999999999876
70,7,25,tuning_curve,-1,2,38.3666666666045
70,7,25,tuning_curve,-1,2,119.999999999948
70,7,25,tuning_curve,1000,2,7.23333333331766
70,7,25,tuning_curve,1000,2,85.7333333332804
70,7,25,tuning_curve,1414.21,2,12.6666666666893
70,7,25,tuning_curve,1414.21,2,122.99999999999
70,7,25,tuning_curve,2000,2,-25.9000000000356
70,7,25,tuning_curve,2828.43,2,100.266666666755
70,7,25,tuning_curve,4000,2,19.0333333333683
70,7,25,tuning_curve,5656.85,2,-1.03333333339606
70,7,25,tuning_curve,5656.85,2,137.299999999925
70,7,25,tuning_curve,8000,2,-21.7000000000098
70,7,25,tuning_curve,8000,2,82.6999999999884
70,7,25,tuning_curve,16000,2,-4.30000000000064
70,7,25,tuning_curve,16000,2,109.599999999944
70,7,25,tuning_curve,16000,2,125.233333333256
70,7,25,tuning_curve,32000,2,100.399999999979
70,7,25,tuning_curve,64000,2,117.466666666644
70,7,25,tuning_curve,64000,2,127.799999999922
40,7,25,tuning_curve,-1,3,-22.4333333333675
40,7,25,tuning_curve,-1,3,-21.4000000000283
40,7,25,tuning_curve,-1,3,114.76666666664
40,7,25,tuning_curve,1000,3,47.7999999999952
40,7,25,tuning_curve,1414.21,3,-2.16666666671017
40,7,25,tuning_curve,1414.21,3,87.9666666666594
40,7,25,tuning_curve,2000,3,-36.2666666666769
40,7,25,tuning_curve,2000,3,145.800000000065
40,7,25,tuning_curve,2828.43,3,-38.099999999929
40,7,25,tuning_curve,2828.43,3,70.6333333333191
40,7,25,tuning_curve,4000,3,2.36666666665997
40,7,25,tuning_curve,4000,3,84.6999999999412
40,7,25,tuning_curve,4000,3,145.933333333289
40,7,25,tuning_curve,5656.85,3,-47.1000000000572
40,7,25,tuning_curve,5656.85,3,71.6666666666583
40,7,25,tuning_curve,8000,3,-36.7666666666651
40,7,25,tuning_curve,8000,3,108.900000000006
